Target	Log2FC	padj
AT1G22410	-0.346127299307815	1.86E-06
AT5G52310	1.14025039568461	1.89E-06
AT3G45530	1.58715775195217	1.90E-06
AT1G17170	-0.713531709900299	1.90E-06
AT4G04480	-1.89882499978365	1.92E-06
AT3G46800	2.96504070308625	1.92E-06
AT5G42510	1.13075550069867	1.94E-06
AT5G64260	-0.607073749457088	1.95E-06
AT5G45380	0.608216169469355	2.07E-06
AT5G43530	-1.51815410859358	2.16E-06
AT5G48930	0.32367659632368	2.20E-06
AT3G08640	-0.392763765409668	2.21E-06
AT3G28050	0.617529367208738	2.21E-06
AT3G54950	0.413639707968864	2.29E-06
AT1G79280	-0.278335599536004	2.29E-06
AT5G56760	0.477349860092803	2.34E-06
AT2G35930	-0.498503483117764	2.40E-06
AT4G30210	-0.429111177354051	2.44E-06
AT5G49900	-0.741083213581551	2.54E-06
AT5G60440	4.32723963262048	2.54E-06
AT1G09480	1.64454572506805	2.58E-06
AT1G03220	-0.521253755447872	2.61E-06
AT1G01040	-0.458762852340958	2.72E-06
AT3G49601	0.357112084664646	2.77E-06
AT5G65380	0.410388092589675	2.82E-06
AT1G67150	-0.674995981425736	2.99E-06
AT5G54040	0.654621646212919	3.15E-06
AT1G26770	-1.16454228499266	3.30E-06
AT2G41880	-0.999458505207158	3.86E-06
AT3G44550	0.593611076088163	4.02E-06
AT3G26830	-0.718533967961473	4.03E-06
AT1G21310	-0.457838655436462	4.03E-06
AT3G51960	1.55326434208149	4.10E-06
AT2G40390	-1.07262840711549	4.11E-06
AT2G28550	0.418515897258543	4.12E-06
AT4G12490	3.10913601212398	4.20E-06
AT1G21920	0.533404308832524	4.24E-06
AT3G53420	0.462837487680029	4.35E-06
AT1G77810	-0.551981169093009	4.43E-06
AT1G25530	-0.539802594098234	4.51E-06
AT5G67450	0.849538332227818	4.63E-06
AT5G57740	0.533553842930103	4.64E-06
AT3G05770	-1.635222311252	4.68E-06
AT3G30260	-2.1072625550296	4.68E-06
AT1G72920	-1.39821627364357	4.87E-06
AT3G54820	-0.788843306764885	4.88E-06
AT1G30730	-0.830534678174794	4.94E-06
AT3G11840	-0.942865181446476	5.13E-06
AT5G02340	-6.76594629969411	5.23E-06
AT3G45970	1.01186383172005	5.36E-06
AT3G29000	-1.13660947523621	5.40E-06
AT5G65710	0.663688640718694	5.40E-06
AT1G23830	0.967996855482206	5.42E-06
AT2G20950	-0.463084735844591	5.63E-06
AT2G40140	-0.513621694865702	5.71E-06
AT5G53010	0.601168207291214	5.88E-06
AT1G11330	-0.543521494814403	5.90E-06
AT1G09440	-1.06569074810488	5.95E-06
AT5G59730	-0.921044910220601	5.97E-06
AT5G42610	2.56915165835472	6.19E-06
AT1G11270	1.30981744230567	6.27E-06
AT5G54500	-0.471554928837106	6.37E-06
AT1G76720	1.31678186022042	6.40E-06
AT3G52340	-0.709254267005142	6.40E-06
AT1G77210	-2.99668270559296	6.65E-06
AT2G01300	-1.52305740817757	6.87E-06
AT2G19160	-0.848398674442527	7.28E-06
AT5G46800	0.561262988128658	7.29E-06
AT1G05300	0.944716048065372	7.35E-06
AT1G24150	-0.625433928006268	7.35E-06
AT3G51090	1.09825469804327	7.38E-06
AT5G59770	0.612639974712949	7.43E-06
AT5G46430	0.398342968236957	7.45E-06
AT3G45750	-0.758103002158926	7.49E-06
AT2G24692	-6.75579751837185	7.87E-06
AT5G59140	0.601474935104954	8.09E-06
AT1G72520	-1.55220500452265	8.32E-06
AT2G45760	-1.85226862196583	8.50E-06
AT5G44569	6.38457987220379	8.53E-06
AT3G26290	0.77801827886332	8.55E-06
AT5G44980	6.81411063850021	8.82E-06
AT5G53460	-0.414923524350245	8.99E-06
AT1G24735	0.987662791002097	9.34E-06
AT1G15870	-1.12111537166431	9.38E-06
AT5G26290	0.49719071618066	9.58E-06
AT3G15990	-0.791964924198282	1.01E-05
AT3G46710	1.51529816454747	1.01E-05
AT4G16260	-0.727316776593527	1.01E-05
AT1G34060	1.19708305062159	1.02E-05
AT4G33720	-0.719400506141067	1.03E-05
AT5G65850	4.71663127676426	1.05E-05
AT3G45710	0.941054350455167	1.08E-05
AT1G65845	0.783205088110213	1.12E-05
AT1G21900	-0.446961905339448	1.14E-05
AT1G18590	-0.599547558745805	1.15E-05
AT1G02930	-0.752480186574926	1.15E-05
AT4G22030	-1.58561832256737	1.20E-05
AT1G16590	-1.29714526739499	1.21E-05
AT5G57010	-0.974802378613688	1.21E-05
AT5G08560	-0.334318418034606	1.22E-05
AT4G01840	0.852894838746628	1.22E-05
AT1G15880	0.618269699331571	1.32E-05
AT4G23030	-1.96743863331566	1.34E-05
AT5G63030	-0.604567745330189	1.35E-05
AT5G41740	2.33443291261348	1.38E-05
AT5G65320	1.73188579153164	1.39E-05
AT5G08250	-1.33526788275291	1.39E-05
AT4G39950	-0.507543998994702	1.40E-05
AT3G30775	0.422381508420555	1.47E-05
AT1G14540	-1.05828284371233	1.49E-05
AT5G52790	-1.31031165964525	1.50E-05
AT4G12500	2.64043594308715	1.56E-05
AT5G63450	2.31296128716826	1.60E-05
AT5G44380	-0.451268806778125	1.63E-05
AT4G06746	-1.58632502956296	1.64E-05
AT5G39110	-1.04952570577927	1.66E-05
AT3G53730	0.671273982442749	1.67E-05
AT1G30420	-0.752163934929888	1.67E-05
AT5G39580	-1.0242858832188	1.68E-05
AT1G70620	0.392243532767556	1.70E-05
AT5G65810	-0.500915878683699	1.70E-05
AT1G53440	-0.745779809776224	1.71E-05
AT5G43420	0.629728436298612	1.73E-05
AT1G01420	1.00012538819759	1.75E-05
AT1G09932	-0.950984643794238	1.75E-05
AT5G64660	-0.568001415756184	1.76E-05
AT1G28370	-0.850535635238372	1.79E-05
AT5G48010	1.79228655158448	1.79E-05
AT3G48890	-0.519025855710967	1.80E-05
AT1G13080	-1.09393417680754	1.85E-05
AT5G52710	-1.01523527309065	1.88E-05
AT1G10110	2.72883899545116	1.89E-05
AT1G12210	-1.22143064086947	1.96E-05
AT4G27280	-0.59662704545996	1.98E-05
AT1G10560	1.13224358960218	2.05E-05
AT1G23760	-1.31533904885224	2.08E-05
AT3G57450	-0.734418313449702	2.12E-05
AT5G46640	-0.943976038838692	2.18E-05
AT4G02130	0.652973114743536	2.27E-05
AT1G12600	-1.60271591429928	2.37E-05
AT3G44730	-0.702378371277818	2.37E-05
AT3G55410	-0.337338326038201	2.38E-05
AT5G63630	0.968570159612516	2.38E-05
AT5G62210	0.829037781637391	2.46E-05
AT5G46600	1.14882057104452	2.64E-05
AT5G45150	-1.54912905955202	2.82E-05
